,Country,Date,Reference,cohort size RR1 driver,cohort size RR2 driver,RR1 driver,RR1 driver_Ac,RR2 driver,RR2 driver_Ac,cohort size RR1 pax,cohort size  RR2 pax,RR1 pax,RR1 pax_Ac,RR2 pax,RR2 pax_Ac
0, TOTAL,Apr/2015,same_month,2185.0,1082877.0,1062.0,1062.0,1070601.0,1070601.0,5137.0,642973.0,2663.0,2663.0,1457919.0,1457919.0
1, TOTAL,Apr/2015,1_month,2185.0,1082877.0,423.0,1198.0,397079.0,1467680.0,5137.0,642973.0,1287.0,3082.0,488881.0,1946800.0
2, TOTAL,Apr/2015,2_month,2185.0,1082877.0,325.0,1258.0,310820.0,1778500.0,5137.0,642973.0,846.0,3210.0,321247.0,2268047.0
3, TOTAL,Apr/2015,3_month,2185.0,1082877.0,180.0,1280.0,172267.0,1950767.0,5137.0,642973.0,472.0,3272.0,144562.0,2412609.0
4, TOTAL,Apr/2015,4_month,2185.0,1082877.0,288.0,1316.0,426736.0,2377503.0,5137.0,642973.0,776.0,3346.0,293740.0,2706349.0
5, TOTAL,Apr/2015,5_month,2185.0,1082877.0,247.0,1336.0,352709.0,2730212.0,5137.0,642973.0,735.0,3394.0,328529.0,3034878.0
6, TOTAL,Apr/2015,6_month,2185.0,1082877.0,242.0,1350.0,341580.0,3071792.0,5137.0,642973.0,867.0,3459.0,373175.0,3408053.0
7, TOTAL,Apr/2015,7_to_12_month,2185.0,1082877.0,268.0,1367.0,417031.0,3488823.0,5137.0,642973.0,880.0,3508.0,460090.0,3868143.0
8, TOTAL,May/2015,same_month,1956.0,813711.0,534.0,534.0,433042.0,433042.0,4380.0,548984.0,2596.0,2596.0,950230.0,950230.0
9, TOTAL,May/2015,1_month,1956.0,813711.0,267.0,644.0,326747.0,759789.0,4380.0,548984.0,688.0,2815.0,351981.0,1302211.0
10, TOTAL,May/2015,2_month,1956.0,813711.0,177.0,692.0,262776.0,1022565.0,4380.0,548984.0,389.0,2887.0,338575.0,1640786.0
11, TOTAL,May/2015,3_month,1956.0,813711.0,208.0,724.0,317274.0,1339839.0,4380.0,548984.0,480.0,2960.0,267087.0,1907873.0
12, TOTAL,May/2015,4_month,1956.0,813711.0,192.0,746.0,256898.0,1596737.0,4380.0,548984.0,488.0,3020.0,230235.0,2138108.0
13, TOTAL,May/2015,5_month,1956.0,813711.0,174.0,757.0,265106.0,1861843.0,4380.0,548984.0,502.0,3078.0,226352.0,2364460.0
14, TOTAL,May/2015,6_month,1956.0,813711.0,129.0,764.0,191671.0,2053514.0,4380.0,548984.0,404.0,3105.0,198497.0,2562957.0
15, TOTAL,May/2015,7_to_12_month,1956.0,813711.0,103.0,770.0,118334.0,2171848.0,4380.0,548984.0,256.0,3121.0,114753.0,2677710.0
16, TOTAL,Jun/2015,same_month,2335.0,1332976.0,509.0,509.0,560111.0,560111.0,5306.0,798176.0,3629.0,3629.0,1423495.0,1423495.0
17, TOTAL,Jun/2015,1_month,2335.0,1332976.0,240.0,624.0,445258.0,1005369.0,5306.0,798176.0,553.0,3797.0,313196.0,1736691.0
18, TOTAL,Jun/2015,2_month,2335.0,1332976.0,225.0,671.0,343036.0,1348405.0,5306.0,798176.0,512.0,3905.0,251956.0,1988647.0
19, TOTAL,Jun/2015,3_month,2335.0,1332976.0,220.0,713.0,262729.0,1611134.0,5306.0,798176.0,463.0,3973.0,241163.0,2229810.0
20, TOTAL,Jun/2015,4_month,2335.0,1332976.0,205.0,741.0,302656.0,1913790.0,5306.0,798176.0,440.0,4020.0,324037.0,2553847.0
21, TOTAL,Jun/2015,5_month,2335.0,1332976.0,164.0,754.0,208455.0,2122245.0,5306.0,798176.0,359.0,4048.0,232656.0,2786503.0
22, TOTAL,Jun/2015,6_month,2335.0,1332976.0,148.0,772.0,185854.0,2308099.0,5306.0,798176.0,276.0,4069.0,156056.0,2942559.0
23, TOTAL,Jun/2015,7_to_12_month,2335.0,1332976.0,0.0,0.0,0.0,0.0,5306.0,798176.0,0.0,0.0,0.0,0.0
24, TOTAL,Jul/2015,same_month,2794.0,1158775.0,372.0,372.0,479087.0,479087.0,6211.0,789553.0,4350.0,4350.0,1263772.0,1263772.0
25, TOTAL,Jul/2015,1_month,2794.0,1158775.0,290.0,535.0,331321.0,810408.0,6211.0,789553.0,770.0,4623.0,362269.0,1626041.0
26, TOTAL,Jul/2015,2_month,2794.0,1158775.0,216.0,587.0,371948.0,1182356.0,6211.0,789553.0,502.0,4710.0,243838.0,1869879.0
27, TOTAL,Jul/2015,3_month,2794.0,1158775.0,181.0,635.0,262525.0,1444881.0,6211.0,789553.0,493.0,4780.0,268395.0,2138274.0
28, TOTAL,Jul/2015,4_month,2794.0,1158775.0,149.0,655.0,222965.0,1667846.0,6211.0,789553.0,404.0,4838.0,203890.0,2342164.0
29, TOTAL,Jul/2015,5_month,2794.0,1158775.0,124.0,676.0,144896.0,1812742.0,6211.0,789553.0,301.0,4870.0,161618.0,2503782.0
30, TOTAL,Jul/2015,6_month,2794.0,1158775.0,0.0,0.0,0.0,0.0,6211.0,789553.0,0.0,0.0,0.0,0.0
31, TOTAL,Jul/2015,7_to_12_month,2794.0,1158775.0,0.0,0.0,0.0,0.0,6211.0,789553.0,0.0,0.0,0.0,0.0
32, TOTAL,Aug/2015,same_month,3190.0,1274984.0,758.0,758.0,985917.0,985917.0,7557.0,897296.0,4414.0,4414.0,1576199.0,1576199.0
33, TOTAL,Aug/2015,1_month,3190.0,1274984.0,655.0,1030.0,635487.0,1621404.0,7557.0,897296.0,1613.0,4887.0,736593.0,2312792.0
34, TOTAL,Aug/2015,2_month,3190.0,1274984.0,507.0,1112.0,529805.0,2151209.0,7557.0,897296.0,1336.0,5074.0,568924.0,2881716.0
35, TOTAL,Aug/2015,3_month,3190.0,1274984.0,408.0,1138.0,437020.0,2588229.0,7557.0,897296.0,1111.0,5167.0,471462.0,3353178.0
36, TOTAL,Aug/2015,4_month,3190.0,1274984.0,270.0,1163.0,231385.0,2819614.0,7557.0,897296.0,598.0,5214.0,232201.0,3585379.0
37, TOTAL,Aug/2015,5_month,3190.0,1274984.0,0.0,0.0,0.0,0.0,7557.0,897296.0,0.0,0.0,0.0,0.0
38, TOTAL,Aug/2015,6_month,3190.0,1274984.0,0.0,0.0,0.0,0.0,7557.0,897296.0,0.0,0.0,0.0,0.0
39, TOTAL,Aug/2015,7_to_12_month,3190.0,1274984.0,0.0,0.0,0.0,0.0,7557.0,897296.0,0.0,0.0,0.0,0.0
40, TOTAL,Sep/2015,same_month,3744.0,1329824.0,815.0,815.0,910255.0,910255.0,8042.0,967599.0,5293.0,5293.0,1666471.0,1666471.0
41, TOTAL,Sep/2015,1_month,3744.0,1329824.0,673.0,1118.0,817444.0,1727699.0,8042.0,967599.0,1477.0,5760.0,792381.0,2458852.0
42, TOTAL,Sep/2015,2_month,3744.0,1329824.0,488.0,1177.0,641070.0,2368769.0,8042.0,967599.0,1068.0,5900.0,653039.0,3111891.0
43, TOTAL,Sep/2015,3_month,3744.0,1329824.0,342.0,1225.0,311863.0,2680632.0,8042.0,967599.0,636.0,5958.0,350182.0,3462073.0
44, TOTAL,Sep/2015,4_month,3744.0,1329824.0,0.0,0.0,0.0,0.0,8042.0,967599.0,0.0,0.0,0.0,0.0
45, TOTAL,Sep/2015,5_month,3744.0,1329824.0,0.0,0.0,0.0,0.0,8042.0,967599.0,0.0,0.0,0.0,0.0
46, TOTAL,Sep/2015,6_month,3744.0,1329824.0,0.0,0.0,0.0,0.0,8042.0,967599.0,0.0,0.0,0.0,0.0
47, TOTAL,Sep/2015,7_to_12_month,3744.0,1329824.0,0.0,0.0,0.0,0.0,8042.0,967599.0,0.0,0.0,0.0,0.0
48, TOTAL,Oct/2015,same_month,4480.0,1834195.0,861.0,861.0,910599.0,910599.0,10727.0,1293895.0,7149.0,7149.0,2029397.0,2029397.0
49, TOTAL,Oct/2015,1_month,4480.0,1834195.0,677.0,1170.0,769600.0,1680199.0,10727.0,1293895.0,1626.0,7622.0,877786.0,2907183.0
50, TOTAL,Oct/2015,2_month,4480.0,1834195.0,438.0,1275.0,485478.0,2165677.0,10727.0,1293895.0,913.0,7767.0,490040.0,3397223.0
51, TOTAL,Oct/2015,3_month,4480.0,1834195.0,0.0,0.0,0.0,0.0,10727.0,1293895.0,0.0,0.0,0.0,0.0
52, TOTAL,Oct/2015,4_month,4480.0,1834195.0,0.0,0.0,0.0,0.0,10727.0,1293895.0,0.0,0.0,0.0,0.0
53, TOTAL,Oct/2015,5_month,4480.0,1834195.0,0.0,0.0,0.0,0.0,10727.0,1293895.0,0.0,0.0,0.0,0.0
54, TOTAL,Oct/2015,6_month,4480.0,1834195.0,0.0,0.0,0.0,0.0,10727.0,1293895.0,0.0,0.0,0.0,0.0
55, TOTAL,Oct/2015,7_to_12_month,4480.0,1834195.0,0.0,0.0,0.0,0.0,10727.0,1293895.0,0.0,0.0,0.0,0.0
56, TOTAL,Nov/2015,same_month,3630.0,1130455.0,1010.0,1010.0,718787.0,718787.0,8368.0,1033377.0,4893.0,4893.0,1262094.0,1262094.0
57, TOTAL,Nov/2015,1_month,3630.0,1130455.0,567.0,1259.0,634538.0,1353325.0,8368.0,1033377.0,1137.0,5217.0,526059.0,1788153.0
58, TOTAL,Nov/2015,2_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
59, TOTAL,Nov/2015,3_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
60, TOTAL,Nov/2015,4_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
61, TOTAL,Nov/2015,5_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
62, TOTAL,Nov/2015,6_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
63, TOTAL,Nov/2015,7_to_12_month,3630.0,1130455.0,0.0,0.0,0.0,0.0,8368.0,1033377.0,0.0,0.0,0.0,0.0
64, TOTAL,Dec/2015,same_month,3302.0,1355702.0,1051.0,1051.0,796944.0,796944.0,7656.0,1480148.0,2979.0,2979.0,1354292.0,1354292.0
65, TOTAL,Dec/2015,1_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
66, TOTAL,Dec/2015,2_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
67, TOTAL,Dec/2015,3_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
68, TOTAL,Dec/2015,4_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
69, TOTAL,Dec/2015,5_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
70, TOTAL,Dec/2015,6_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
71, TOTAL,Dec/2015,7_to_12_month,3302.0,1355702.0,0.0,0.0,0.0,0.0,7656.0,1480148.0,0.0,0.0,0.0,0.0
72,Argentina + Uruguay,Apr/2015,same_month,117.0,257162.0,31.0,31.0,147197.0,147197.0,213.0,100933.0,97.0,97.0,279572.0,279572.0
73,Argentina + Uruguay,Apr/2015,1_month,117.0,257162.0,13.0,42.0,26164.0,173361.0,213.0,100933.0,35.0,111.0,35141.0,314713.0
74,Argentina + Uruguay,Apr/2015,2_month,117.0,257162.0,7.0,44.0,26022.0,199383.0,213.0,100933.0,16.0,111.0,9396.0,324109.0
75,Argentina + Uruguay,Apr/2015,3_month,117.0,257162.0,3.0,44.0,4816.0,204199.0,213.0,100933.0,7.0,113.0,3880.0,327989.0
76,Argentina + Uruguay,Apr/2015,4_month,117.0,257162.0,3.0,44.0,21945.0,226144.0,213.0,100933.0,9.0,115.0,6716.0,334705.0
77,Argentina + Uruguay,Apr/2015,5_month,117.0,257162.0,6.0,45.0,21778.0,247922.0,213.0,100933.0,2.0,117.0,853.0,335558.0
78,Argentina + Uruguay,Apr/2015,6_month,117.0,257162.0,5.0,45.0,12242.0,260164.0,213.0,100933.0,5.0,119.0,1634.0,337192.0
79,Argentina + Uruguay,Apr/2015,7_to_12_month,117.0,257162.0,6.0,46.0,6946.0,267110.0,213.0,100933.0,6.0,121.0,7268.0,344460.0
80,Argentina + Uruguay,May/2015,same_month,176.0,178219.0,29.0,29.0,72896.0,72896.0,284.0,107425.0,198.0,198.0,184737.0,184737.0
81,Argentina + Uruguay,May/2015,1_month,176.0,178219.0,13.0,37.0,50702.0,123598.0,284.0,107425.0,35.0,207.0,26979.0,211716.0
82,Argentina + Uruguay,May/2015,2_month,176.0,178219.0,6.0,38.0,15080.0,138678.0,284.0,107425.0,12.0,208.0,9981.0,221697.0
83,Argentina + Uruguay,May/2015,3_month,176.0,178219.0,7.0,39.0,31391.0,170069.0,284.0,107425.0,12.0,211.0,7955.0,229652.0
84,Argentina + Uruguay,May/2015,4_month,176.0,178219.0,7.0,40.0,31728.0,201797.0,284.0,107425.0,9.0,214.0,5080.0,234732.0
85,Argentina + Uruguay,May/2015,5_month,176.0,178219.0,7.0,40.0,34999.0,236796.0,284.0,107425.0,8.0,214.0,4585.0,239317.0
86,Argentina + Uruguay,May/2015,6_month,176.0,178219.0,4.0,40.0,12737.0,249533.0,284.0,107425.0,7.0,215.0,4960.0,244277.0
87,Argentina + Uruguay,May/2015,7_to_12_month,176.0,178219.0,3.0,40.0,6167.0,255700.0,284.0,107425.0,2.0,216.0,721.0,244998.0
88,Argentina + Uruguay,Jun/2015,same_month,173.0,108504.0,44.0,44.0,113411.0,113411.0,595.0,56516.0,455.0,455.0,171346.0,171346.0
89,Argentina + Uruguay,Jun/2015,1_month,173.0,108504.0,25.0,61.0,55385.0,168796.0,595.0,56516.0,61.0,458.0,50367.0,221713.0
90,Argentina + Uruguay,Jun/2015,2_month,173.0,108504.0,19.0,66.0,24363.0,193159.0,595.0,56516.0,36.0,458.0,30373.0,252086.0
91,Argentina + Uruguay,Jun/2015,3_month,173.0,108504.0,17.0,70.0,36436.0,229595.0,595.0,56516.0,31.0,459.0,21328.0,273414.0
92,Argentina + Uruguay,Jun/2015,4_month,173.0,108504.0,10.0,71.0,17028.0,246623.0,595.0,56516.0,19.0,460.0,63691.0,337105.0
93,Argentina + Uruguay,Jun/2015,5_month,173.0,108504.0,1.0,71.0,792.0,247415.0,595.0,56516.0,12.0,461.0,34677.0,371782.0
94,Argentina + Uruguay,Jun/2015,6_month,173.0,108504.0,4.0,72.0,19007.0,266422.0,595.0,56516.0,13.0,462.0,12509.0,384291.0
95,Argentina + Uruguay,Jun/2015,7_to_12_month,173.0,108504.0,0.0,0.0,0.0,0.0,595.0,56516.0,0.0,0.0,0.0,0.0
96,Argentina + Uruguay,Jul/2015,same_month,82.0,83744.0,25.0,25.0,60018.0,60018.0,375.0,81903.0,278.0,278.0,145261.0,145261.0
97,Argentina + Uruguay,Jul/2015,1_month,82.0,83744.0,19.0,35.0,29088.0,89106.0,375.0,81903.0,63.0,283.0,35875.0,181136.0
98,Argentina + Uruguay,Jul/2015,2_month,82.0,83744.0,13.0,41.0,42334.0,131440.0,375.0,81903.0,14.0,285.0,4358.0,185494.0
99,Argentina + Uruguay,Jul/2015,3_month,82.0,83744.0,11.0,44.0,29118.0,160558.0,375.0,81903.0,11.0,286.0,4034.0,189528.0
100,Argentina + Uruguay,Jul/2015,4_month,82.0,83744.0,6.0,45.0,18408.0,178966.0,375.0,81903.0,3.0,287.0,1694.0,191222.0
101,Argentina + Uruguay,Jul/2015,5_month,82.0,83744.0,4.0,45.0,9530.0,188496.0,375.0,81903.0,6.0,288.0,2716.0,193938.0
102,Argentina + Uruguay,Jul/2015,6_month,82.0,83744.0,0.0,0.0,0.0,0.0,375.0,81903.0,0.0,0.0,0.0,0.0
103,Argentina + Uruguay,Jul/2015,7_to_12_month,82.0,83744.0,0.0,0.0,0.0,0.0,375.0,81903.0,0.0,0.0,0.0,0.0
104,Argentina + Uruguay,Aug/2015,same_month,87.0,94602.0,13.0,13.0,26197.0,26197.0,367.0,56864.0,290.0,290.0,132926.0,132926.0
105,Argentina + Uruguay,Aug/2015,1_month,87.0,94602.0,16.0,23.0,22885.0,49082.0,367.0,56864.0,18.0,292.0,23877.0,156803.0
106,Argentina + Uruguay,Aug/2015,2_month,87.0,94602.0,10.0,26.0,44473.0,93555.0,367.0,56864.0,16.0,297.0,34218.0,191021.0
107,Argentina + Uruguay,Aug/2015,3_month,87.0,94602.0,3.0,26.0,5562.0,99117.0,367.0,56864.0,10.0,299.0,14569.0,205590.0
108,Argentina + Uruguay,Aug/2015,4_month,87.0,94602.0,6.0,27.0,24647.0,123764.0,367.0,56864.0,2.0,301.0,2697.0,208287.0
109,Argentina + Uruguay,Aug/2015,5_month,87.0,94602.0,0.0,0.0,0.0,0.0,367.0,56864.0,0.0,0.0,0.0,0.0
110,Argentina + Uruguay,Aug/2015,6_month,87.0,94602.0,0.0,0.0,0.0,0.0,367.0,56864.0,0.0,0.0,0.0,0.0
111,Argentina + Uruguay,Aug/2015,7_to_12_month,87.0,94602.0,0.0,0.0,0.0,0.0,367.0,56864.0,0.0,0.0,0.0,0.0
112,Argentina + Uruguay,Sep/2015,same_month,95.0,78463.0,22.0,22.0,51597.0,51597.0,478.0,79712.0,356.0,356.0,152359.0,152359.0
113,Argentina + Uruguay,Sep/2015,1_month,95.0,78463.0,16.0,31.0,60437.0,112034.0,478.0,79712.0,23.0,363.0,26958.0,179317.0
114,Argentina + Uruguay,Sep/2015,2_month,95.0,78463.0,9.0,34.0,17752.0,129786.0,478.0,79712.0,12.0,367.0,11747.0,191064.0
115,Argentina + Uruguay,Sep/2015,3_month,95.0,78463.0,5.0,34.0,16342.0,146128.0,478.0,79712.0,7.0,369.0,6709.0,197773.0
116,Argentina + Uruguay,Sep/2015,4_month,95.0,78463.0,0.0,0.0,0.0,0.0,478.0,79712.0,0.0,0.0,0.0,0.0
117,Argentina + Uruguay,Sep/2015,5_month,95.0,78463.0,0.0,0.0,0.0,0.0,478.0,79712.0,0.0,0.0,0.0,0.0
118,Argentina + Uruguay,Sep/2015,6_month,95.0,78463.0,0.0,0.0,0.0,0.0,478.0,79712.0,0.0,0.0,0.0,0.0
119,Argentina + Uruguay,Sep/2015,7_to_12_month,95.0,78463.0,0.0,0.0,0.0,0.0,478.0,79712.0,0.0,0.0,0.0,0.0
120,Argentina + Uruguay,Oct/2015,same_month,85.0,135389.0,16.0,16.0,64729.0,64729.0,319.0,95435.0,196.0,196.0,163053.0,163053.0
121,Argentina + Uruguay,Oct/2015,1_month,85.0,135389.0,10.0,25.0,24297.0,89026.0,319.0,95435.0,26.0,205.0,51397.0,214450.0
122,Argentina + Uruguay,Oct/2015,2_month,85.0,135389.0,8.0,31.0,14086.0,103112.0,319.0,95435.0,25.0,216.0,20061.0,234511.0
123,Argentina + Uruguay,Oct/2015,3_month,85.0,135389.0,0.0,0.0,0.0,0.0,319.0,95435.0,0.0,0.0,0.0,0.0
124,Argentina + Uruguay,Oct/2015,4_month,85.0,135389.0,0.0,0.0,0.0,0.0,319.0,95435.0,0.0,0.0,0.0,0.0
125,Argentina + Uruguay,Oct/2015,5_month,85.0,135389.0,0.0,0.0,0.0,0.0,319.0,95435.0,0.0,0.0,0.0,0.0
126,Argentina + Uruguay,Oct/2015,6_month,85.0,135389.0,0.0,0.0,0.0,0.0,319.0,95435.0,0.0,0.0,0.0,0.0
127,Argentina + Uruguay,Oct/2015,7_to_12_month,85.0,135389.0,0.0,0.0,0.0,0.0,319.0,95435.0,0.0,0.0,0.0,0.0
128,Argentina + Uruguay,Nov/2015,same_month,115.0,165077.0,27.0,27.0,106154.0,106154.0,399.0,134133.0,226.0,226.0,155829.0,155829.0
129,Argentina + Uruguay,Nov/2015,1_month,115.0,165077.0,32.0,46.0,152568.0,258722.0,399.0,134133.0,26.0,238.0,29849.0,185678.0
130,Argentina + Uruguay,Nov/2015,2_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
131,Argentina + Uruguay,Nov/2015,3_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
132,Argentina + Uruguay,Nov/2015,4_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
133,Argentina + Uruguay,Nov/2015,5_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
134,Argentina + Uruguay,Nov/2015,6_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
135,Argentina + Uruguay,Nov/2015,7_to_12_month,115.0,165077.0,0.0,0.0,0.0,0.0,399.0,134133.0,0.0,0.0,0.0,0.0
136,Argentina + Uruguay,Dec/2015,same_month,73.0,122725.0,12.0,12.0,45674.0,45674.0,423.0,193043.0,239.0,239.0,264412.0,264412.0
137,Argentina + Uruguay,Dec/2015,1_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
138,Argentina + Uruguay,Dec/2015,2_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
139,Argentina + Uruguay,Dec/2015,3_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
140,Argentina + Uruguay,Dec/2015,4_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
141,Argentina + Uruguay,Dec/2015,5_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
142,Argentina + Uruguay,Dec/2015,6_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
143,Argentina + Uruguay,Dec/2015,7_to_12_month,73.0,122725.0,0.0,0.0,0.0,0.0,423.0,193043.0,0.0,0.0,0.0,0.0
144,Brasil,Apr/2015,same_month,411.0,144647.0,178.0,178.0,151847.0,151847.0,1287.0,215308.0,460.0,460.0,176076.0,176076.0
145,Brasil,Apr/2015,1_month,411.0,144647.0,88.0,216.0,91513.0,243360.0,1287.0,215308.0,281.0,606.0,86355.0,262431.0
146,Brasil,Apr/2015,2_month,411.0,144647.0,79.0,228.0,82187.0,325547.0,1287.0,215308.0,244.0,666.0,81416.0,343847.0
147,Brasil,Apr/2015,3_month,411.0,144647.0,55.0,234.0,54133.0,379680.0,1287.0,215308.0,158.0,702.0,41250.0,385097.0
148,Brasil,Apr/2015,4_month,411.0,144647.0,62.0,242.0,69620.0,449300.0,1287.0,215308.0,220.0,738.0,74113.0,459210.0
149,Brasil,Apr/2015,5_month,411.0,144647.0,60.0,247.0,62738.0,512038.0,1287.0,215308.0,225.0,765.0,73804.0,533014.0
150,Brasil,Apr/2015,6_month,411.0,144647.0,60.0,253.0,71293.0,583331.0,1287.0,215308.0,230.0,784.0,75005.0,608019.0
151,Brasil,Apr/2015,7_to_12_month,411.0,144647.0,64.0,258.0,85988.0,669319.0,1287.0,215308.0,269.0,810.0,105358.0,713377.0
